Date,Opponent,Type,Song,Period,Media,Time,Score (Duke-Opponent),Early? (Y/N),Event
04/20/24,Duke,FB,Blue & White,Halftime,,,3-14,N,
04/20/24,Duke,FB,Fight Fight (Intro),4Q,,14:00,3-14,N,
04/20/24,Duke,FB,Fight Fight (Intro),4Q,,12:36,3-17,N,
04/20/24,Duke,FB,Fight Fight (Intro),4Q,,11:41,3-17,N,
04/20/24,Duke,FB,Blue & White,4Q,,11:05,6-17,N,
04/20/24,Duke,FB,Fight Fight (Intro),4Q,,10:38,6-17,N,
04/20/24,Duke,FB,Fight Fight (Intro),4Q,,10:13,6-17,N,
04/20/24,Duke,FB,The Whip,4Q,,8:19,12-17,N,
04/20/24,Duke,FB,Blue & White,4Q,,8:19,13-17,N,
04/20/24,Duke,FB,Devil,Postgame,,,13-24,N,
04/20/24,Duke,FB,Fight Fight (Intro),4Q,,8:03,13-17,N,
04/20/24,Duke,FB,Fight Fight (Intro),4Q,,7:33,13-17,N,
04/20/24,Duke,FB,Fight Fight (Intro),4Q,,5:22,13-17,N,
04/20/24,Duke,FB,Fight Fight (Intro),4Q,,4:34,13-17,N,
04/20/24,Duke,FB,Devil,4Q,,3:38,13-23,N,
04/20/24,Duke,FB,Fight Fight (Intro),4Q,,2:00,13-23,N,
04/20/24,Duke,FB,Love from the Other Side,4Q,,2:00,13-23,N,
04/20/24,Duke,FB,Fight Fight (Intro),4Q,,1:06,13-24,N,
